lid,rid
260894,874002
469605,714562
606987,608062
701577,841506
45623,506338
493007,881014
261574,1007669
548585,949600
504696,565781
703242,712798
840865,880242
270417,1127711
294199,759102
300302,665008
36735,406905
343554,567790
15321,549235
439539,1214952
148056,337021
564632,729940
786013,846637
26932,811472
25674,528550
513342,1191894
160845,502512
315124,653168
390151,404719
99258,1218567
501257,1205726
26253,881521
84666,982836
178833,848546
270417,331140
220829,504696
512778,980494
729116,1131636
137507,504103
390628,605011
103093,925823
294893,1101042
337254,997429
365094,448738
51994,1136875
608748,846642
653168,878708
62654,903959
272241,469554
382314,1159599
146850,841545
2376,135117
148397,1165860
781468,1002973
262616,501319
556141,1125417
494677,716008
734379,1065420
987697,1188342
571104,1122699
184485,1133457
334471,728319
608748,765701
228806,923715
84479,361071
482207,1180048
182801,1164767
557958,814903
11642,1079486
218329,723261
834317,980943
160757,504869
87134,339094
106380,977442
997206,1030741
1141234,1214952
49091,1146402
252678,1165529
756951,1069348
235469,597810
571471,1182226
463974,839821
871124,988793
409847,484911
729067,936792
389296,822843
662387,927060
328181,376435
528341,870489
408284,951857
174010,500133
194244,650255
558177,789296
297942,310848
333928,685773
78174,461931
88935,727785
432286,953844
989964,1085261
749384,830443
183836,723261
971022,1151600
148959,327240
71672,492156
110486,775284
700490,1113398
639686,732897
627249,1139542
800571,1196557
392281,611004
249012,871202
295250,1158271
831205,1122699
406352,1127711
557605,986333
1073700,1101685
826955,1151303
935977,1077367
98274,334737
142559,986207
845714,991703
38665,1069348
564059,927370
643210,727705
7649,570265
57235,1184108
448786,750502
811472,870489
744130,1157151
4946,192682
150734,605123
309941,592549
367363,433917
18404,713104
278021,282810
331031,418789
144855,951273
395802,1079534
867324,1212563
697711,739337
137507,674226
504869,605098
114795,252998
753861,821331
1515,884166
375154,618892
425160,880242
62729,140953
343589,729774
1053499,1190973
269359,728794
95906,928589
108803,605098
219797,1079550
415101,554472
270417,1012759
663098,768491
17743,378951
988586,1147313
108803,857638
563573,1056042
504869,871759
412911,519222
889198,921922
290728,1135932
186384,813521
218329,949600
858754,1218616
117046,352579
786668,1015253
200198,507637
108803,871759
21073,392202
743096,1097190
2149,719416
5338,366740
80583,450904
704173,977821
152604,692718
32722,1185849
295006,476699
65431,797595
319186,515172
17565,249012
65468,1182794
842394,927706
640500,1039936
377829,592039
218329,1005950
492859,749709
75114,632627
692449,947686
480850,1184158
604467,725144
415101,634742
582380,1158983
690565,740331
611284,658686
183836,949600
511436,558732
569051,1007669
277660,1109390
366740,1127720
871759,1139253
26932,448786
401549,440753
741056,869077
952939,1034677
280892,811472
875946,1112148
1046297,1170343
415101,840865
260599,1212452
480366,769327
300302,783266
284669,575124
641362,1157004
1155849,1198989
183836,1005950
1187888,1197762
205818,338594
605098,647052
525890,543254
418789,805337
576147,1128440
159489,579522
315503,1106781
40654,134961
311850,345732
518190,525270
342554,992222
287901,1191604
138251,1098727
57132,1027388
435482,904969
207000,415101
312884,448786
415101,1198989
390640,626847
170051,615011
437644,1185988
451182,1182226
345732,1163520
498189,774592
366864,1140698
723261,1198989
927370,1212563
437403,507637
698222,1153063
193089,722341
344706,475036
72075,141053
63351,1101685
802690,1101685
468521,1216934
204551,773013
483874,1083469
528341,1180615
67736,716790
20530,178833
618892,1160737
2602,983230
59153,130417
78283,1141883
657700,664684
691871,741520
1069348,1151600
420737,974853
204975,626577
711334,741056
37430,172554
848546,857638
354546,1191811
565083,927370
268638,657092
752683,1182800
616706,1212158
630060,947983
639592,1188973
298479,605098
137507,918553
482926,937289
156659,968212
476167,1019378
172425,985790
811472,1180615
77609,215223
377480,493007
848546,871759
200646,889119
298479,857638
54240,145821
1035884,1138331
376435,731919
501127,1025764
398423,448786
557800,578637
712798,802350
784920,853153
269179,666060
935908,989523
33121,639084
462566,629711
74452,805051
168372,741056
871759,987199
122627,420150
298479,871759
289385,679667
451182,528341
209615,519765
661869,963983
698222,989787
753082,1112279
760951,925773
695891,802681
430390,898641
161055,1180615
312884,1218567
184570,275791
404864,656838
840865,869077
763737,1122699
802350,1182398
618611,884444
178591,1013285
434374,503953
356044,1122699
1127720,1182226
162979,767524
492156,1153515
37430,952939
215223,339274
356571,858133
225422,886073
691545,906236
173105,716877
151162,210968
417572,1198989
608748,723261
16302,901759
166851,211360
757934,778474
71672,880242
383389,1133820
151611,870932
148243,656503
282810,543560
422358,1115088
428253,1062170
744386,872072
528341,1214952
403386,783786
171037,924735
295236,618855
339274,608748
270417,711334
101197,1175055
975810,997494
69917,532569
942894,1176864
7610,632678
12950,351669
667991,753861
833113,1103227
28319,302098
78596,393759
1064627,1192325
158102,1126053
148243,292231
417572,807548
238410,375154
811675,1000678
509746,1177618
398423,1218567
27744,1097340
667684,1092459
41532,602555
750502,1218567
1080964,1089531
39516,101601
765129,912032
160327,299623
121265,960993
7610,741056
753666,1202883
852296,874479
12242,981309
950233,966706
75266,179921
269179,867324
715170,1149781
600446,736995
519222,606987
161055,1214952
856092,863209
56896,878708
35637,510180
647052,1205323
36548,402143
1165852,1180742
20530,1141234
277660,406352
189041,1058950
289799,556300
225422,1146586
145792,634366
184941,571471
150471,1199995
29375,1009159
17565,78596
178833,252678
17565,1163520
10448,1207994
78596,345732
1023494,1132226
718457,849826
554472,1007669
869077,1165529
585490,652372
605098,1165529
898981,1179340
253557,914304
380750,721161
160698,541098
608748,949600
701429,1008271
500039,769399
233766,608748
548585,870489
199300,279050
286144,323855
417572,1018477
175347,1180615
227007,503157
628959,935443
271947,877788
184941,765701
447417,1215574
414783,735431
425160,869077
406352,711334
765272,818270
657092,1215574
168372,398423
836421,1125042
775269,933386
500173,1132815
96392,651514
872539,1055887
830443,831205
435106,449296
598515,702466
277660,881014
36005,1195899
225419,519222
385821,955179
506536,799852
694312,728258
547165,686592
437691,1162532
730733,812260
559867,755339
77609,425160
619439,993739
849826,890387
9664,408600
459475,695299
527221,952478
707777,773013
980726,1176511
400589,1035512
922697,989923
298498,408776
821331,890831
841660,1160226
427882,967246
832465,1222874
123764,1165754
413584,1212563
360004,519989
211481,432286
415101,1160737
503953,653168
310517,507637
665957,1046297
698222,821331
752870,1197820
378349,963759
992749,1139304
230536,437100
613566,1168380
286144,618892
679667,755339
128045,910630
38229,590269
15001,981129
504800,767885
523492,772297
475157,665957
370167,872072
9016,403386
270345,1197344
128308,796141
36103,865480
1029908,1218697
318052,656967
246181,315124
175347,1214952
172554,780321
282420,517367
127214,262399
8526,638571
200198,516338
401077,774885
7610,398423
605951,1073700
504869,987199
353502,656148
193497,937147
966040,1083215
764755,870932
741056,750502
870489,1069348
64172,246638
985404,1127280
366740,585490
343864,880242
160394,317491
188765,251316
774273,1079385
993971,1043721
278093,421591
249012,537591
135863,382494
763662,981156
830924,938030
146850,935001
728258,999824
5560,570242
56396,309734
426151,534225
7610,437403
215223,634742
186398,649419
3777,1031028
81623,738961
506416,962676
323855,632678
379900,488911
300302,1097340
261574,647052
115138,1075792
152837,1037083
218329,870489
406425,1113291
228806,915693
857638,1182226
463209,890831
184941,394021
228306,418345
33982,148243
215223,840865
288592,984092
381023,857379
506416,665008
816931,900995
168501,1002305
639717,1215602
432286,787055
21077,1066720
79854,728442
417572,1155849
249012,608062
492156,571471
865844,999812
252678,880242
431731,597810
89686,882933
246181,434374
802690,906707
238410,647052
593629,925252
417572,1188279
486357,1140693
538418,1191260
960590,1104937
789494,899279
183836,870489
755728,965704
80367,831205
598609,1106781
287051,669717
437403,516338
252055,694626
797506,965621
144527,814820
653168,777397
58464,1045401
366740,1007669
492156,765701
234124,544511
185343,1023159
731919,826955
250049,255837
206880,1004587
711334,971022
160757,415101
105891,219424
277082,613184
920879,1155623
180974,363798
944400,1040368
727230,1099384
71672,869077
173388,788415
443797,898641
418280,914968
376998,1159127
1007669,1139253
753861,1079486
220403,1212467
37430,191054
161055,652372
42401,443797
868122,1165675
9468,174083
799929,1035107
418570,937553
5338,280892
315605,934928
409414,460121
970273,1127759
168372,971022
105216,590026
1018477,1069348
106040,1085596
113688,843279
793576,832863
85082,1174020
209615,266127
286888,1008198
184941,756951
415101,811472
106175,962062
723261,811472
158766,315503
278021,539005
794998,998816
332119,594193
151162,612988
96558,555161
618892,1218567
839281,918553
96756,389188
432206,695826
400541,1200304
437571,647846
578575,872072
170984,806149
208038,611136
166823,419680
821331,888363
647975,1036598
200198,1182226
455477,671671
427378,1082029
60734,1153063
380179,1101271
326163,994595
640296,884994
1005950,1218567
38665,632678
39018,776338
634742,857638
594828,652261
375154,439539
652372,971022
569878,637144
203637,702741
139553,1082029
45415,508782
575405,1138545
418025,1073700
999555,1219992
759124,930743
238410,406352
407680,1025390
634742,871759
114889,135888
1045467,1148497
407289,892765
20530,310517
63351,1002305
400736,749143
115138,783898
912047,1141787
150916,837498
5068,947264
596591,728898
527695,540493
682978,1174609
846642,1141234
612988,831205
207000,1141234
96485,510820
519222,1195748
1109390,1205323
971022,1018477
127116,156016
1000057,1195612
69200,262620
454300,667991
594635,735519
218329,1180615
626459,1030651
873591,1042017
290577,743015
591288,716413
233766,286144
77609,280892
303592,921873
246634,1043456
475157,1014258
521481,712798
839821,1151303
244133,301409
331140,1012759
161055,175347
200198,528341
686547,976784
317339,1179685
99258,417572
632678,634742
300972,1054717
324032,711787
417730,769802
36735,829064
417572,811472
576009,1035571
372634,568351
454017,652568
437403,1182226
150031,716341
777397,1179685
234124,980490
551984,987937
632678,840865
175347,652372
795180,1043373
54555,298211
183836,1180615
17565,1170343
696753,973391
463209,888363
53452,847402
261574,1165529
506416,783266
156631,476848
495141,606776
5338,976632
451182,605098
710617,872428
830443,1186085
425160,750502
61819,640612
972646,1115465
425193,1126160
323855,437403
805694,838524
268660,957824
1440,898548
618417,936634
448786,1127720
451182,857638
840315,983863
72738,496037
787351,1010992
111821,218047
250668,696910
241665,711083
701176,959371
148134,371944
703259,1101271
238410,1165529
451182,871759
275357,745813
817494,887097
232532,841563
40544,511447
762026,1049369
531722,1116734
21948,134416
567754,664181
292231,756430
528341,608748
458792,1204806
129425,864926
55791,679522
157847,833213
30581,1200322
178833,507637
255274,1158280
25415,160770
461360,680732
310369,882648
337021,830443
273403,980726
537591,781142
184663,1191242
106661,623617
179046,965119
229227,548555
270157,281313
552680,568976
513853,1174374
228806,953844
571104,637144
1143763,1207770
415101,448786
791724,1151303
117629,551742
264031,544767
217610,1171854
608748,870489
492156,756951
647052,1153515
137881,664701
339274,343864
134825,1013964
353187,1063126
120541,739890
26932,200198
38657,552681
741837,1174830
190209,346860
888082,927759
406352,741056
78707,464065
589828,1073312
249305,476848
573883,1218162
346334,556095
59990,687061
255873,331031
218902,747909
77609,976632
427378,549167
5585,211481
215223,1160737
611004,732934
425160,569051
39844,1185001
371364,983468
119808,450534
526962,978176
1073573,1122240
393759,1200313
949600,1012759
152683,347162
725704,1021375
681749,732752
230926,285983
201511,1200721
52006,501236
139553,549167
250500,437752
971022,1155849
252678,869077
596073,878708
832754,1203115
651208,1110238
29601,279889
1002305,1101685
148243,339620
244691,904054
971022,1188279
161055,238410
281439,294543
38665,425160
360820,488820
906707,967246
49042,103475
477788,940448
270417,398423
12164,1106373
788698,956854
370461,1110913
275244,1088813
571471,1139253
26932,493007
600100,712121
109863,545622
89906,785848
993875,1134944
197508,604476
240984,426426
683511,1112066
476996,1050405
722520,1115364
429726,922697
208817,506099
63079,624139
153941,722405
251316,298498
224339,688746
91009,946571
37430,501127
233766,343864
32864,895436
122806,159470
512964,971483
506713,1199587
770524,899548
297001,1106528
77481,281622
869077,880242
735519,785518
622206,1165137
268638,1215574
331140,711334
462113,752566
445013,698222
429552,1156933
286144,1151600
922849,1175934
697210,1077215
323095,400589
569324,1197933
431852,677017
556386,697145
395745,904563
402209,979846
117294,585176
151162,830443
34733,412277
422825,930312
44094,375154
400589,580720
178908,235515
919119,1064041
305138,364852
667476,1021720
312884,516338
525270,617298
453302,809703
71672,750502
339274,554472
56896,777397
262272,1175642
217709,420498
1016942,1019198
688972,1158343
657784,1137684
192242,274337
5217,833671
697494,1022582
271955,300147
108803,215223
661744,1003460
179806,889424
611284,804198
84369,857909
487101,1204333
231418,651199
564059,666060
261727,1013479
698222,1079486
332205,674211
332938,625309
13112,1023880
1060883,1178505
248900,739206
364409,1013106
895875,976166
70818,345351
121050,471793
20530,277660
923723,1060928
571471,987199
465384,665532
339274,634742
379421,878035
934920,946849
310517,1182226
187014,1064558
508262,827618
134565,1038011
266818,1197626
476996,802350
175347,238410
390141,925818
602914,769399
401399,716980
240160,633413
398423,516338
366473,484022
292035,1210993
334800,736449
75385,707409
427882,826955
207000,310517
100933,552700
312884,417572
339274,840865
319950,524222
406352,437403
684471,1001044
278021,802690
31285,424447
41182,907337
377480,652372
275298,492156
198097,939773
193793,784248
747632,894407
726294,1073700
343189,1078070
172216,898641
67077,701596
632678,1160737
261574,492156
28928,809652
325477,501594
113850,1059161
233766,554472
191463,1129801
225422,565083
1069348,1155849
617298,1155623
719982,872046
43968,1004633
605951,617298
275872,660836
457000,702461
850665,866907
339274,1198989
50136,383953
1069348,1188279
981320,1221524
533217,744155
364829,404719
71672,569051
390567,1149445
801985,1137770
437544,603530
97308,937201
525270,726294
430938,1116844
10706,1149946
211481,555407
76617,877886
42173,510794
21372,525270
310517,528341
717813,1042295
280892,493007
44708,190317
306907,834385
315124,674226
819030,909261
398423,417572
761200,891530
451250,458974
564059,867324
497061,1086253
323855,504869
884166,1147038
356044,637144
1078384,1140388
179831,1131819
795143,876271
177430,1213103
681366,1216536
195804,873364
807548,1205323
232125,711011
1205323,1214952
42484,1000086
906707,1151303
664416,702641
270417,971022
86129,1102493
160757,1141234
128819,514778
439539,554472
971022,1153515
518190,1062170
778805,1043649
647052,846642
463619,787564
698133,984141
134416,519765
81404,133021
158292,1052758
531902,707522
399701,628984
64135,331031
97095,791187
20530,1127711
760286,1038414
476911,917654
99258,261574
9016,1046297
650237,725631
558491,1037094
1016237,1088888
169820,721557
711334,1109390
34433,946947
501127,1050095
492567,772297
448786,585490
647052,765701
923715,953844
86773,278855
506416,1097340
34506,283281
297336,571104
162587,559867
501127,952939
1127711,1141234
134416,209615
493007,1127711
548585,608748
1182226,1198989
432286,541098
152315,1030910
516338,756951
1127720,1139253
233766,1198989
357572,915284
79240,190243
564416,692951
542074,778080
245608,246464
439539,634742
703939,1195748
506556,526551
962537,1064405
169405,1084162
565083,666060
60734,432899
524292,551685
728258,812445
163128,348725
168372,1109390
664035,976160
148959,298498
375154,1205323
1109390,1153515
453532,1221903
1095265,1220529
108803,425160
439539,840865
161055,286144
206622,970218
312527,920268
437403,548585
62054,962981
103900,926438
178833,516338
554354,581142
946177,1076020
693230,1197095
499596,890287
567441,1179717
